address,postal_code,country,federal_district,region_type,region,area_type,area,city_type,city,settlement_type,settlement,kladr_id,fias_id,fias_level,capital_marker,okato,oktmo,tax_office,timezone,geo_lat,geo_lon,population,foundation_year
"Калужская обл, г Козельск",249720,Россия,Центральный,обл,Калужская,р-н,Козельский,город,Козельск,,,4001200100000,adc77035-406d-4cb4-9bcc-094c89ac67fc,4,1,29216501000,29616101,4001,UTC+3,54.0347201,35.780768,18203,1199
"Калужская обл, Жуковский р-н, г Кременки",249185,Россия,Центральный,обл,Калужская,р-н,Жуковский,город,Кременки,,,4000900400000,73c0bcae-5da5-4796-9084-9b9e5905d501,4,0,29213510000,29613160,4011,UTC+3,54.8862447,37.1168701,11617,1799
"Калужская обл, г Сухиничи",249270,Россия,Центральный,обл,Калужская,р-н,Сухиничский,город,Сухиничи,,,4002000100000,84778f7b-bf8c-45cc-84e1-dfd136368e6a,4,1,29236501000,29636101001,4001,UTC+3,54.097296,35.3443568,16295,1799
"Респ Карелия, г Беломорск",186500,Россия,Северо-Западный,Респ,Карелия,р-н,Беломорский,город,Беломорск,,,1000200100000,b4bc7957-5539-4da9-ac5f-d6ee037c0d52,4,1,86204501000,86604101001,1032,UTC+3,64.5378417,34.7799462,11217,1199
"Респ Карелия, Кемский р-н, г Кемь",186610,Россия,Северо-Западный,Респ,Карелия,р-н,Кемский,город,Кемь,,,1000400100000,e4338e50-dae7-4bd0-8843-ca0db77140d3,4,0,86212501000,86612101001,1031,UTC+3,64.9543539,34.5949263,13061,1399
"Респ Карелия, г Питкяранта",186810,Россия,Северо-Западный,Респ,Карелия,р-н,Питкярантский,город,Питкяранта,,,1001100100000,284264da-5fb5-4301-b36a-1127d751329d,4,1,86233501000,86633101001,1035,UTC+3,61.5757191,31.4640557,11484,1899
"Респ Карелия, г Суоярви",186870,Россия,Северо-Западный,Респ,Карелия,р-н,Суоярвский,город,Суоярви,,,1001500100000,8a5c4019-f746-4445-8679-cb6740633a78,4,1,86250501000,86650101001,1040,UTC+3,62.0787293,32.3499386,9763,1599
"Кировская обл, г Малмыж",612920,Россия,Приволжский,обл,Кировская,р-н,Малмыжский,город,Малмыж,,,4301800100000,2193594d-ddaf-42b6-9dfe-95cda00ba520,4,1,33223501000,33623101001,4307,UTC+3,56.5243844,50.6782739,8265,1499
"Кировская обл, г Советск",613341,Россия,Приволжский,обл,Кировская,р-н,Советский,город,Советск,,,4303200100000,2fa0734f-2b29-49d5-862f-29f15d88a402,4,1,33236501000,33636101001,4330,UTC+3,57.584196,48.9590272,16592,1199
"Костромская обл, г Кологрив",157440,Россия,Центральный,обл,Костромская,р-н,Кологривский,город,Кологрив,,,4400700100000,2382db41-3085-4e55-a612-d597535ae960,4,1,34212501000,34612101,4400,UTC+3,58.8269323,44.3184927,3314,1699
